,estimación,tamaño,tiempo,diferencia
X3.156.18,3.141063712,3610000,6.56,0.000528942
X3.1586.18,3.14087036,3610000,6.56,0.000722293
X3.1478.18,3.141730748,3610000,6.56,0.000138094
X3.1592.18,3.141176177,3610000,6.56,0.000416476
X3.1392.19,3.14206,4.00E+06,6.92,0.000467346
X3.1304.20,3.141772,4.00E+06,6.92,0.000179346
X3.1466.19,3.1418825,4.00E+06,6.92,0.000289846
X3.148.19,3.14228,4.00E+06,6.92,0.000687346
X3.1584.19,3.1420205,4.00E+06,6.92,0.000427846
X3.1304.1.19,3.1413035,4.00E+06,6.92,0.000289154
X3.156.19,3.1415965,4.00E+06,6.92,3.85E-06
X3.1586.19,3.1422115,4.00E+06,6.92,0.000618846
X3.1478.19,3.141208,4.00E+06,6.92,0.000384654
X3.1592.19,3.1418385,4.00E+06,6.92,0.000245846
